method,path,module,endpoint,public_now,public_after_fix,admin_path,auth_dependency,review,decision
POST,/api/sites/build,app.api.routes.site_build_routes,build_site,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
POST,/api/subscribers,app.api.routes.subscriber_routes,subscribe,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
GET,/api/admin/communities,app.api.routes.community_routes,admin_list_communities,True,False,True,"get_current_admin_user, get_current_user","OK - admin path; open today, will require an admin token after fix",
GET,/api/admin/community-templates,app.api.routes.community_routes,admin_list_templates,True,False,True,"get_current_admin_user, get_current_user","OK - admin path; open today, will require an admin token after fix",
POST,/api/admin/community-templates,app.api.routes.community_routes,admin_create_template,True,False,True,"get_current_admin_user, get_current_user","OK - admin path; open today, will require an admin token after fix",
DELETE,/api/admin/community-templates/{template_id},app.api.routes.community_routes,admin_delete_template,True,False,True,"get_current_admin_user, get_current_user","OK - admin path; open today, will require an admin token after fix",
PUT,/api/admin/community-templates/{template_id},app.api.routes.community_routes,admin_update_template,True,False,True,"get_current_admin_user, get_current_user","OK - admin path; open today, will require an admin token after fix",
GET,/api/admin/status,app.main,admin_status,True,False,True,,"OK - admin path; open today, will require an admin token after fix",
POST,/api/auth/change-password,app.api.routes.auth_routes,change_password,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
POST,/api/communities,app.api.routes.community_routes,create_community,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
GET,/api/communities/mine,app.api.routes.community_routes,list_my_communities,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
PUT,/api/communities/{community_id},app.api.routes.community_routes,update_community,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
GET,/api/communities/{community_id}/settings,app.api.routes.community_routes,get_community_settings,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
PUT,/api/communities/{community_id}/settings,app.api.routes.community_routes,update_community_settings,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
GET,/api/community/{community_id}/events,app.api.routes.community_routes,list_events,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
POST,/api/community/{community_id}/events,app.api.routes.community_routes,create_event,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
DELETE,/api/community/{community_id}/events/{event_id},app.api.routes.community_routes,delete_event,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
PUT,/api/community/{community_id}/events/{event_id},app.api.routes.community_routes,update_event,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
GET,/api/community/{community_id}/members,app.api.routes.community_routes,list_members,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
DELETE,/api/community/{community_id}/members/{member_id},app.api.routes.community_routes,remove_member,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
PUT,/api/community/{community_id}/members/{member_id},app.api.routes.community_routes,update_member,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
GET,/api/community/{community_id}/threads,app.api.routes.community_routes,list_threads,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
POST,/api/community/{community_id}/threads,app.api.routes.community_routes,create_thread,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
DELETE,/api/community/{community_id}/threads/{thread_id},app.api.routes.community_routes,delete_thread,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
GET,/api/community/{community_id}/threads/{thread_id},app.api.routes.community_routes,get_thread,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
PUT,/api/community/{community_id}/threads/{thread_id},app.api.routes.community_routes,update_thread,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
POST,/api/community/{community_id}/threads/{thread_id}/posts,app.api.routes.community_routes,create_post,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
GET,/api/content/offers,app.api.routes.content_routes,list_offers,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
POST,/api/content/offers,app.api.routes.content_routes,create_offer,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
DELETE,/api/content/offers/{offer_id},app.api.routes.content_routes,delete_offer,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
GET,/api/content/offers/{offer_id},app.api.routes.content_routes,get_offer,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
PUT,/api/content/offers/{offer_id},app.api.routes.content_routes,update_offer,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
GET,/api/leads,app.api.routes.lead_routes,list_leads,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
GET,/api/leads/funnel,app.api.routes.lead_routes,get_funnel_metrics,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
GET,/api/pages,app.api.routes.page_routes,list_pages,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
POST,/api/pages,app.api.routes.page_routes,create_page,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
DELETE,/api/pages/{page_id},app.api.routes.page_routes,delete_page,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
GET,/api/pages/{page_id},app.api.routes.page_routes,get_page,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
PUT,/api/pages/{page_id},app.api.routes.page_routes,update_page,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
GET,/api/public/{username}/community/{slug},app.api.routes.community_routes,community_landing,True,False,False,get_current_user_optional,OK - protected by its own dependency; will also need a token after fix,
POST,/api/public/{username}/community/{slug}/join,app.api.routes.community_routes,join_community,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
GET,/api/resources,app.api.routes.resource_routes,list_resources,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
POST,/api/resources,app.api.routes.resource_routes,create_resource,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
DELETE,/api/resources/{resource_id},app.api.routes.resource_routes,delete_resource,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
GET,/api/resources/{resource_id},app.api.routes.resource_routes,get_resource,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
PUT,/api/resources/{resource_id},app.api.routes.resource_routes,update_resource,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
GET,/api/settings,app.api.routes.settings_routes,get_settings,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
PUT,/api/settings,app.api.routes.settings_routes,update_settings,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
GET,/api/settings/mine,app.api.routes.settings_routes,get_user_settings,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
POST,/api/settings/setup,app.api.routes.settings_routes,save_user_setup,True,False,False,get_current_user,OK - protected by its own dependency; will also need a token after fix,
GET,/api/subscribers,app.api.routes.subscriber_routes,list_subscribers,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
PATCH,/api/subscribers/{subscriber_id},app.api.routes.subscriber_routes,toggle_subscriber_status,True,False,False,"get_current_admin_user, get_current_user",OK - protected by its own dependency; will also need a token after fix,
GET,/,app.main,root,True,True,False,,Public (unchanged),
POST,/api/auth/login,app.api.routes.auth_routes,login,True,True,False,,Public (unchanged),
POST,/api/auth/logout,app.api.routes.auth_routes,logout,True,True,False,,Public (unchanged),
GET,/api/auth/me,app.api.routes.auth_routes,get_current_user,True,True,False,,Public (unchanged),
POST,/api/auth/oauth/callback,app.api.routes.auth_routes,oauth_callback,True,True,False,,Public (unchanged),
POST,/api/auth/register,app.api.routes.auth_routes,register,True,True,False,,Public (unchanged),
GET,/api/auth/verify,app.api.routes.auth_routes,verify_token,True,True,False,,Public (unchanged),
POST,/api/chat,app.api.routes.chat_routes,chat,True,True,False,,Public (unchanged),
POST,/api/chat/prefill,app.api.routes.chat_routes,chat_prefill,True,True,False,,Public (unchanged),
POST,/api/chat/prefill-and-save,app.api.routes.chat_routes,chat_prefill_and_save,True,True,False,,Public (unchanged),
POST,/api/contact,app.api.routes.contact_routes,create_contact,True,True,False,,Public (unchanged),
GET,/api/contact/health,app.api.routes.contact_routes,contact_health_check,True,True,False,,Public (unchanged),
GET,/api/contacts,app.api.routes.contact_routes,get_contacts,True,True,False,,Public (unchanged),
DELETE,/api/contacts/{contact_id},app.api.routes.contact_routes,delete_contact,True,True,False,,Public (unchanged),
GET,/api/contacts/{contact_id},app.api.routes.contact_routes,get_contact,True,True,False,,Public (unchanged),
PUT,/api/contacts/{contact_id},app.api.routes.contact_routes,update_contact_status,True,True,False,,Public (unchanged),
GET,/api/content/offers/public/{username}/{slug},app.api.routes.content_routes,get_public_offer,True,True,False,,Public (unchanged),
GET,/api/db-status,app.main,database_status,True,True,False,,Public (unchanged),
POST,/api/payments/webhook/razorpay,app.api.routes.payment_routes,razorpay_webhook,True,True,False,,Public (unchanged),
POST,/api/payments/webhook/stripe,app.api.routes.payment_routes,stripe_webhook,True,True,False,,Public (unchanged),
GET,/docs,fastapi.applications,swagger_ui_html,True,True,False,,Public (unchanged),
GET,/docs/oauth2-redirect,fastapi.applications,swagger_ui_redirect,True,True,False,,Public (unchanged),
GET,/health,app.main,health_check,True,True,False,,Public (unchanged),
GET,/openapi.json,fastapi.applications,openapi,True,True,False,,Public (unchanged),
GET,/redoc,fastapi.applications,redoc_html,True,True,False,,Public (unchanged),
